userID,hotelID,ratings,flag,city
65,1,5,F,Hurghada
65,2,5,F,Hurghada
65,3,5,F,Hurghada
65,4,5,F,Hurghada
65,5,5,F,Hurghada
65,6,5,F,Hurghada
65,7,5,F,Hurghada
65,8,5,F,Hurghada
65,9,5,F,Hurghada
65,10,5,F,Hurghada
65,11,5,F,Hurghada
65,12,5,F,Hurghada
65,13,5,F,Hurghada
65,14,4,F,Hurghada
65,15,5,F,Hurghada
65,16,4,F,Hurghada
65,17,4,F,Hurghada
65,18,5,F,Hurghada
65,19,5,F,Hurghada
65,20,5,F,Hurghada
65,21,5,F,Hurghada
65,22,5,F,Hurghada
65,23,5,F,Hurghada
65,24,5,F,Hurghada
65,25,5,F,Hurghada
65,26,4,F,Hurghada
65,27,5,F,Hurghada
65,28,4,F,Hurghada
65,29,5,F,Hurghada
65,30,5,F,Hurghada
65,31,5,F,Hurghada
65,32,5,F,Hurghada
65,33,4,F,Hurghada
65,34,4,F,Hurghada
65,35,3,F,Hurghada
65,36,4,F,Hurghada
65,37,5,F,Hurghada
65,38,4,F,Hurghada
65,39,4,F,Hurghada
65,40,5,F,Hurghada
65,41,5,F,Hurghada
65,42,5,F,Hurghada
65,43,5,F,Hurghada
65,44,5,F,Hurghada
65,45,5,F,Hurghada
65,46,5,F,Hurghada
65,47,5,F,Hurghada
65,48,4,F,Hurghada
65,49,4,F,Hurghada
65,50,5,F,Hurghada
65,51,4,F,Hurghada
65,52,5,F,Hurghada
65,53,5,F,Hurghada
65,54,5,F,Hurghada
65,55,5,F,Hurghada
65,56,5,F,Hurghada
65,57,5,F,Hurghada
65,58,5,F,Hurghada
65,59,5,F,Hurghada
65,60,5,F,Hurghada
65,61,4,F,Hurghada
65,62,5,F,Hurghada
65,63,5,F,Hurghada
65,64,5,F,Hurghada
65,65,4,F,Hurghada
65,66,5,F,Hurghada
65,67,4,F,Hurghada
65,68,5,F,Hurghada
65,69,4,F,Hurghada
65,70,5,F,Hurghada
65,71,5,F,Hurghada
65,72,5,F,Hurghada
65,73,5,F,Hurghada
65,74,5,F,Hurghada
65,75,5,F,Hurghada
65,76,5,F,Hurghada
65,77,5,F,Hurghada
65,78,5,F,Hurghada
65,79,3,F,Hurghada
65,80,4,F,Hurghada
65,81,5,F,Hurghada
65,82,5,F,Hurghada
65,83,4,F,Hurghada
65,84,5,F,Hurghada
65,85,4,F,Hurghada
65,86,5,F,Hurghada
65,87,5,F,Hurghada
65,88,5,F,Hurghada
65,89,5,F,Hurghada
65,90,5,F,Hurghada
65,91,3,F,Hurghada
65,92,5,F,Hurghada
65,93,2,F,Hurghada
65,94,4,F,Hurghada
65,95,4,F,Hurghada
65,97,5,F,Hurghada
65,98,4,F,Hurghada
65,99,4,F,Hurghada
65,100,5,F,Hurghada
65,101,5,F,Hurghada
65,102,5,F,Hurghada
65,103,5,F,Hurghada
65,104,3,F,Hurghada
65,105,4,F,Hurghada
65,106,4,F,Hurghada
65,107,3,F,Hurghada
65,108,5,F,Hurghada
65,109,4,F,Hurghada
65,110,3,F,Hurghada
65,111,3,F,Hurghada
65,112,5,F,Hurghada
65,113,4,F,Hurghada
65,114,4,F,Hurghada
65,115,5,F,Hurghada
65,116,4,F,Hurghada
65,117,4,F,Hurghada
65,118,2,F,Hurghada
65,119,5,F,Hurghada
65,120,3,F,Hurghada
65,121,5,F,Hurghada
65,122,3,F,Hurghada
65,123,4,F,Hurghada
65,124,4,F,Hurghada
65,125,5,F,Hurghada
65,126,5,F,Alexandria
65,127,4,F,Alexandria
65,128,5,F,Alexandria
65,129,5,F,Alexandria
65,130,5,F,Alexandria
65,131,5,F,Alexandria
65,132,5,F,Alexandria
65,133,5,F,Alexandria
65,134,5,F,Alexandria
65,135,5,F,Alexandria
65,136,5,F,Alexandria
65,137,5,F,Alexandria
65,139,4,F,Alexandria
65,140,1,F,Alexandria
65,141,4,F,Alexandria
65,142,5,F,Alexandria
65,143,5,F,Alexandria
65,145,2,F,Alexandria
65,146,5,F,Alexandria
65,147,4,F,Alexandria
65,149,5,F,Alexandria
65,150,1,F,Alexandria
65,152,3,F,Alexandria
65,154,5,F,Alexandria
65,155,4,F,Alexandria
65,156,3,F,Alexandria
65,157,5,F,Alexandria
65,158,4,F,Alexandria
65,159,5,F,Alexandria
65,161,1,F,Alexandria
65,162,3,F,Alexandria
65,163,2,F,Alexandria
65,164,3,F,Alexandria
65,165,5,F,Alexandria
65,167,1,F,Alexandria
65,168,5,F,Alexandria
65,169,2,F,Alexandria
65,170,1,F,Alexandria
65,172,3,F,Alexandria
65,173,1,F,Alexandria
65,174,3,F,Alexandria
65,176,2,F,Alexandria
65,177,3,F,Alexandria
65,179,1,F,Alexandria
65,181,1,F,Alexandria
65,182,1,F,Alexandria
65,185,1,F,Alexandria
65,189,4,F,Alexandria
65,190,3,F,Alexandria
65,191,2,F,Alexandria
65,192,1,F,Alexandria
65,193,1,F,Alexandria
65,197,3,F,Alexandria
